,Day,Trial,RWeight,RCompliance,RWidth,Object,NInitialWidthDifference,NEndingWidthDifference,NSWidth,NWidthDifference,NForce
300,4,57,2,3,3,o,0.041707219,0.024009012,0.120774302,0.021951519,0.502504989
301,4,58,3,1,1,a,0.357680348,0.20689291,0.923972507,0.400196215,0.883137726
302,4,59,2,2,3,i,0.047973983,0.089100894,0.500911769,0.06513919,0.599131976
303,4,60,2,1,2,w,0.773328269,0.499788777,0.635853556,0.928136369,0.483469863
304,4,61,2,1,3,e,0.517862653,0.543793565,0.228550054,0.733720312,0.580515511
305,4,62,1,1,1,2,0.454126807,0.906850665,0.66643288,0.889608797,0.090402892
306,4,63,3,1,2,s,0.984285613,0.310673801,0.507761724,1,0.902172851
307,4,64,3,2,3,l,0.019227574,0.05597409,0.279913031,0.021154396,0.854598992
308,4,65,3,3,2,g,0.164360149,0.20928677,0.471454622,0.235130605,0.902172851
309,4,66,1,2,2,5,0.202744083,0.54770119,0.31575256,0.464660916,0.188481237
310,4,67,2,3,3,o,0.015287108,0.03189467,0.168957778,0.003781221,0.550078848
311,4,68,1,1,1,2,0.496071403,0.814018165,0.660962267,0.87184728,0.085853441
312,4,69,3,2,2,g,0.265198091,0.132612828,0.530602703,0.277439398,0.910280922
